1153,10
1114,5
1199,10
1146,6
1135,7
1073,1
1136,10
1054,7
1154,2
1008,5
1112,8
1059,5
1006,5
1038,5
1095,2
1131,2
1034,9
1061,9
1088,3
1098,1
1167,4
1114,9
1124,3
1195,10
1079,10
1053,7
1013,9
1116,9
1015,6
1114,4
1103,7
1071,4
1069,2
1163,10
1177,4
1056,7
1143,6
1119,7
1029,4
1056,8
1141,5
1162,5
1103,5
1097,6
1015,9
1004,7
1064,4
1047,10
1165,4
1178,4
1193,7
1055,7
1030,8
1079,10
1081,3
1033,9
1094,5
1023,8
1042,8
1092,9
1189,7
1199,9
1066,4
1193,10
1174,9
1003,4
1175,1
1150,6
1032,8
1061,8
1131,7
1075,3
1049,6
1021,10
1168,6
1052,9
1122,7
1134,7
1190,6
1001,7
1053,5
1152,10
1049,6
1040,10
1038,2
1059,8
1110,6
1143,10
1082,7
1157,7
1134,10
1100,6
1032,3
1082,6
1159,2
1160,6
1198,5
1162,3
1024,7
1065,5
1031,7
1110,8
1162,1
1130,9
1116,8
1138,3
1151,7
1100,3
1183,8
1182,4
1104,1
1110,1
1063,5
1180,5
1195,3
1039,10
1195,5
1161,6
