1,0.0059 
1,0.0041 
1,1.1588 
1,FISIERLE SUNT EGALE! 
2,0.0067 
2,0.0044 
2,1.9702 
2,FISIERLE SUNT EGALE! 
3,0.0066 
3,0.0042 
3,2.1359 
3,FISIERLE SUNT EGALE! 
4,0.0064 
4,0.0041 
4,1.6523 
4,FISIERLE SUNT EGALE! 
5,0.0094 
5,0.006 
5,1.6614 
5,FISIERLE SUNT EGALE! 
6,0.0062 
6,0.0041 
6,1.9993 
6,FISIERLE SUNT EGALE! 
7,0.0064 
7,0.004 
7,2.5514 
7,FISIERLE SUNT EGALE! 
8,0.0061 
8,0.0044 
8,1.9013 
8,FISIERLE SUNT EGALE! 
9,0.006 
9,0.0041 
9,1.3616 
9,FISIERLE SUNT EGALE! 
10,0.006 
10,0.0042 
10,1.4239 
10,FISIERLE SUNT EGALE! 
1,Secventiala 115.087 
1,Linii 117.79 
1,Coloana 48.1093 
1,FISIERLE SUNT EGALE! 
1,0.008 
1,0.0059 
1,1.6913 
1,FISIERLE SUNT EGALE! 
2,0.0063 
2,0.0042 
2,1.0918 
2,FISIERLE SUNT EGALE! 
3,0.0074 
3,0.0052 
3,1.246 
3,FISIERLE SUNT EGALE! 
4,0.0064 
4,0.0044 
4,2.4572 
4,FISIERLE SUNT EGALE! 
5,0.0082 
5,0.0052 
5,3.0499 
5,FISIERLE SUNT EGALE! 
6,0.0064 
6,0.0041 
6,1.4079 
6,FISIERLE SUNT EGALE! 
7,0.0085 
7,0.0045 
7,1.4418 
7,FISIERLE SUNT EGALE! 
8,0.0075 
8,0.0052 
8,2.3837 
8,FISIERLE SUNT EGALE! 
9,0.0058 
9,0.0045 
9,1.0888 
9,FISIERLE SUNT EGALE! 
10,0.008 
10,0.005 
10,1.6142 
10,FISIERLE SUNT EGALE! 
1,127.788 
1,115.322 
1,54.0024 
1,FISIERLE SUNT EGALE! 
2,121.59 
2,120.335 
2,58.2925 
2,FISIERLE SUNT EGALE! 
3,118.712 
3,120.987 
3,36.9257 
3,FISIERLE SUNT EGALE! 
4,120.557 
4,132.997 
4,39.0364 
4,FISIERLE SUNT EGALE! 
5,110.149 
5,127.248 
5,63.2608 
5,FISIERLE SUNT EGALE! 
1,0.0083 
1,0.0051 
1,1.0168 
1,FISIERLE SUNT EGALE! 
2,0.0073 
2,0.0057 
2,1.3111 
2,FISIERLE SUNT EGALE! 
3,0.0222 
3,0.0078 
3,1.2274 
3,FISIERLE SUNT EGALE! 
4,0.0077 
4,0.0061 
4,0.9408 
4,FISIERLE SUNT EGALE! 
5,0.0081 
5,0.0182 
5,1.0973 
5,FISIERLE SUNT EGALE! 
6,0.0142 
6,0.0099 
6,1.3561 
6,FISIERLE SUNT EGALE! 
7,0.0117 
7,0.0082 
7,1.0067 
7,FISIERLE SUNT EGALE! 
8,0.0066 
8,0.0161 
8,0.8349 
8,FISIERLE SUNT EGALE! 
9,0.0117 
9,0.0068 
9,1.0118 
9,FISIERLE SUNT EGALE! 
10,0.0077 
10,0.0163 
10,0.981 
10,FISIERLE SUNT EGALE! 
1,130.856 
1,129.73 
1,48.6183 
1,FISIERLE NU SUNT EGALE! 
2,128.1 
2,131.389 
2,49.803 
2,FISIERLE SUNT EGALE! 
3,127.853 
3,139.587 
3,44.9965 
3,FISIERLE SUNT EGALE! 
1,148.114 
1,120.07 
1,49.7397 
1,FISIERLE SUNT EGALE! 
2,110.798 
2,113.395 
2,47.1427 
2,FISIERLE SUNT EGALE! 
3,129.545 
3,144.581 
3,50.8373 
3,FISIERLE SUNT EGALE! 
4,127.07 
4,109.588 
4,44.1253 
4,FISIERLE SUNT EGALE! 
5,150.843 
5,127.334 
5,47.5522 
5,FISIERLE SUNT EGALE! 
6,125.042 
6,137.91 
6,50.004 
6,FISIERLE SUNT EGALE! 
7,119.037 
7,115.16 
7,48.465 
7,FISIERLE SUNT EGALE! 
8,115.077 
8,122.14 
8,51.1961 
8,FISIERLE SUNT EGALE! 
9,127.123 
9,113.357 
9,44.5876 
9,FISIERLE SUNT EGALE! 
10,119.493 
10,125.838 
10,48.6961 
10,FISIERLE SUNT EGALE! 
