1046,10
1008,7
1073,4
1180,3
1111,2
1004,8
1071,10
1008,2
1011,7
1127,3
1143,10
1147,5
1137,4
1002,2
1190,1
1153,8
1047,9
1013,5
1144,2
1192,8
1085,8
1074,8
1139,2
1152,10
1001,7
1145,4
1085,7
1145,10
1169,4
1071,5
1048,8
1063,5
1064,9
1110,1
1033,9
1115,7
1123,4
1081,4
1061,1
1065,6
1089,9
1092,9
1028,9
1081,10
1184,1
1051,10
1197,2
1052,6
1129,4
1179,10
1011,10
1176,3
1161,8
1007,10
1072,1
1146,2
1174,4
1007,8
1137,6
1077,9
1086,9
1078,10
1134,3
1169,7
1016,6
1175,1
1015,6
1146,6
1021,9
1024,8
1141,9
1077,4
1169,3
1188,8
1059,6
1164,10
1186,1
1056,7
1023,5
1105,1
1053,4
1009,2
1002,5
1029,10
1122,8
1037,8
1115,8
1182,10
1000,1
1019,7
1087,9
1055,10
1188,10
1147,10
1083,5
1078,7
1070,9
1020,3
1057,8
1155,8
1086,5
1098,8
1154,9
1155,3
1138,1
