 12	-
  0	0
  7	-
  0	0
 18	-
  1	1
 10	-
  1	2
  7	-
 13	-
  0	3
  5	-
 12	-
  0	4
  7	-
 12	-
  0	5
  7	-
 12	-
  0	6
  7	-
  6	-
  7	-
 11	-
  2	-
  3	-
  4	-
  5	-
 13	-
  0	3
  0	7
  7	-
 37	-
 32	-
 32	-
  0	7
 10	-
  0	4
  7	-
 14	-
  3	-
  0	7
 10	-
  0	4
 32	-
  1	8
  4	-
  5	-
  0	7
 10	-
  0	5
 18	-
  1	9
 21	-
  0	0
 21	-
  0	7
 10	-
  0	4
  7	-
  0	7
 10	-
  0	6
 18	-
  0	0
 21	-
  0	7
 10	-
  0	4
 21	-
  0	7
 10	-
  0	4
  7	-
 38	-
 31	-
 31	-
  0	7
 10	-
  0	5
 31	-
 31	-
 39	-
  7	-
 38	-
 31	-
 31	-
  0	7
 10	-
  0	6
  7	-
  6	-
  6	-
